Nome,Tipo,Workspace,Capacidade,Hora de início,Duração,Duração média,Atualizações por dia,Resultado,Proprietário,Detalhes do Erro
Relatório Complementar - Localiza,Semantic Model,Personalizado - Clientes,topmedbi2,"Ontem, 19:00",00:09:03,00:09:03,1,Completed,powerbi_02@topmed.com.br,"",
Alô Saúde Floripa - PMF,Semantic Model,Personalizado - Clientes,topmedbi2,"Hoje, 10:00",00:14:51,00:10:01,2,Completed,powerbi_02@topmed.com.br,"",
Hiperconsultadores - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 22:00",00:05:33,00:06:26,1,Completed,powerbi_02@topmed.com.br,"",
EAP - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 19:30",00:09:20,00:08:59,1,Completed,powerbi_02@topmed.com.br,"",
Teleconsulta (EAP) - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 20:00",00:08:25,00:07:45,1,Completed,powerbi_02@topmed.com.br,"",
Entrelaços - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 22:30",00:06:23,00:07:24,1,Completed,powerbi_02@topmed.com.br,"",
Saúde24h Premium - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 23:30",00:04:09,00:08:28,1,Completed,powerbi_02@topmed.com.br,"",
Saúde24h Plus E+ - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 00:00",00:08:36,00:08:14,1,Completed,powerbi_02@topmed.com.br,"",
Saúde24h Basic - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 23:00",00:07:23,00:07:22,1,Completed,powerbi_02@topmed.com.br,"",
Saúde24h Plus - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 20:30",00:08:47,00:07:58,1,Completed,powerbi_02@topmed.com.br,"",
Crônicos - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 21:30",00:08:14,00:09:11,1,Completed,powerbi_02@topmed.com.br,"",
Saúde24h Standard - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 21:00",00:08:42,00:07:14,1,Completed,powerbi_02@topmed.com.br,"",
Taxa Utilizacao - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 07:00",00:09:24,00:09:46,1,Completed,powerbi_02@topmed.com.br,"",
Saúde Emocional - Terapia Online - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 00:30",00:08:05,00:09:49,1,Completed,powerbi_02@topmed.com.br,"",
Saúde24h Medical E+ - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 01:00",00:07:47,00:06:25,1,Completed,powerbi_02@topmed.com.br,"",
Report Usage Metrics Model,Semantic Model,Saúde24h Basic,topmedbi2,"","","","","",powerbi_02@topmed.com.br,"",
IPSM,Semantic Model,Personalizado - Clientes,topmedbi2,"Ontem, 19:00",00:11:12,00:08:38,1,Completed,powerbi_02@topmed.com.br,"",
Nutricall - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 18:00",00:05:55,00:06:55,1,Completed,powerbi_02@topmed.com.br,"",
